FSN,Animal_Name,Animal_Count,Animal_Distance,Keep_Inside_House,Days_Inside_House
45750,Goats,2,0,1,365
45751,Cows/Oxen,2,1,1,120
45759,Buffaloes,1,2,0,365
45759,Goats,1,0,1,365
45762,Goats,1,5,0,-1
45763,Cows/Oxen,1,0,1,365
45763,Goats,5,0,1,365
45770,Goats,2,1,1,365
45773,Cows/Oxen,2,5,0,-1
45773,Goats,4,5,0,-1
45774,Goats,1,0,1,365
45778,Goats,2,0,1,365
45779,Buffaloes,2,0,1,365
45780,Cows/Oxen,1,5,0,-1
45780,Goats,4,0,1,365
45782,Cows/Oxen,1,50,0,-1
45783,Buffaloes,1,50,0,-1
45784,Cows/Oxen,2,50,0,-1
45785,Cows/Oxen,1,5,0,-1
45786,Buffaloes,2,5,0,-1
45787,Goats,4,0,1,365
45788,Goats,2,0,1,365
45789,Goats,1,0,1,365
45796,Goats,3,0,1,365
45797,Goats,3,0,1,365
45798,Goats,3,0,1,365
45799,Buffaloes,2,0,1,365
45800,Goats,1,0,1,365
45801,Buffaloes,2,50,0,-1
45801,Goats,3,0,1,180
45802,Goats,2,0,1,180
45805,Goats,1,0,1,365
45806,Goats,1,0,1,365
45811,Goats,1,0,1,365
45813,Goats,1,0,1,365
45815,Buffaloes,1,5,0,-1
45820,Goats,1,0,1,365
45824,Goats,2,0,1,365
45826,Goats,2,0,1,365
45827,Cows/Oxen,1,1,0,-1
45828,Goats,2,0,1,365
45833,Goats,2,0,1,365
45836,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45837,Goats,3,0,1,365
45837,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45838,Goats,7,5,0,-1
45839,Goats,1,0,1,365
45840,Goats,2,3,0,-1
45841,Goats,3,0,1,365
45842,Goats,3,0,1,365
45844,Goats,3,0,1,365
45846,Goats,2,0,1,365
45847,Goats,1,0,1,365
45850,Goats,3,0,1,365
45851,Goats,1,0,1,365
45852,Goats,6,0,1,365
45855,Goats,3,0,1,365
45856,Goats,1,0,1,365
45857,Goats,1,0,1,280
45859,Goats,4,0,1,365
45861,Goats,1,15,0,-1
45873,Goats,1,2,1,365
45874,Cows/Oxen,1,5,0,-1
45874,Goats,1,0,1,365
45875,Goats,1,0,1,365
45877,Goats,2,0,1,365
45878,Goats,1,1,0,-1
45894,Goats,4,0,1,365
45895,Goats,3,0,1,365
45896,Goats,4,0,1,365
45897,Goats,1,0,1,365
45899,Goats,1,0,1,365
45905,Goats,2,0,1,365
45907,Goats,4,0,1,365
45912,Goats,2,0,1,365
45913,Goats,2,0,1,365
45913,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45916,"Poultry (chickens, ducks, pigeon)",5,0,1,365
45919,"Poultry (chickens, ducks, pigeon)",3,0,1,365
45923,Goats,2,3,0,-1
45929,"Poultry (chickens, ducks, pigeon)",2,3,0,-1
45935,Goats,6,0,1,365
45935,"Poultry (chickens, ducks, pigeon)",6,0,1,365
45948,Goats,3,0,1,365
45949,Goats,1,0,1,365
45950,Goats,1,0,1,365
45951,Goats,1,0,1,240
45957,Goats,1,0,1,365
45958,Buffaloes,1,100,0,-1
45958,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45959,Buffaloes,2,100,0,-1
45959,Goats,4,0,1,365
45960,Buffaloes,3,100,0,-1
45961,Goats,4,0,1,365
45961,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45962,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45964,Goats,2,0,1,210
45965,Goats,2,10,0,-1
45966,Goats,3,0,1,365
45967,Buffaloes,1,200,0,-1
45968,Buffaloes,2,500,0,-1
45970,Cows/Oxen,1,500,0,-1
45972,Goats,1,5,0,-1
45973,Buffaloes,2,500,0,-1
45973,Goats,1,500,0,-1
45977,Goats,1,0,1,240
45978,Cows/Oxen,1,10,0,-1
45980,Goats,1,5,0,-1
45982,Buffaloes,2,100,0,-1
45983,Goats,1,15,0,-1
45987,Buffaloes,1,22,0,-1
45987,Goats,2,0,1,200
45989,Goats,2,5,0,-1
45990,Buffaloes,2,15,0,-1
45993,Buffaloes,1,5,0,-1
45994,Buffaloes,2,10,0,-1
45995,Goats,1,0,1,300
45999,Cows/Oxen,3,1,1,120
45999,Goats,1,1,1,365
46000,Buffaloes,1,2,1,120
46000,Goats,3,0,1,365
46002,Cows/Oxen,2,5,0,-1
46004,Buffaloes,1,2,0,-1
46006,Cows/Oxen,1,3,0,-1
46008,Goats,4,0,1,365
46009,Goats,4,2,0,-1
46010,Buffaloes,1,2,0,-1
46015,Cows/Oxen,1,10,1,122
46018,Goats,1,8,0,-1
46020,Buffaloes,2,3,0,-1
46024,Buffaloes,2,2,0,-1
46025,Cows/Oxen,2,6,0,-1
46031,Buffaloes,2,10,0,-1
46032,Cows/Oxen,3,13,0,-1
46036,Buffaloes,2,30,0,-1
46041,Cows/Oxen,1,20,0,-1
46046,Buffaloes,1,5,0,-1
46047,Cows/Oxen,1,7,0,-1
46048,Cows/Oxen,1,0,1,120
46051,Goats,1,0,1,365
46054,Cows/Oxen,1,0,1,120
46055,Buffaloes,1,10,0,-1
46056,Buffaloes,1,7,1,120
46056,"Poultry (chickens, ducks, pigeon)",2,5,1,180
46057,Goats,1,0,1,365
46057,"Poultry (chickens, ducks, pigeon)",3,0,1,365
46061,Cows/Oxen,1,-1,1,180
46061,Goats,1,-1,1,365
46062,Cows/Oxen,1,15,0,-1
46065,Cows/Oxen,2,0,1,365
46066,Cows/Oxen,2,15,0,-1
46069,Buffaloes,1,0,1,120
46072,Buffaloes,2,20,0,-1
46076,Goats,1,0,1,365
46080,Goats,1,0,1,365
46081,Goats,2,0,1,365
46081,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46083,Buffaloes,1,1,0,-1
46083,Goats,1,1,1,365
46083,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46084,Goats,1,0,1,365
46085,Goats,2,0,1,365
46085,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46086,Buffaloes,1,3,1,90
46088,Buffaloes,2,500,0,-1
46088,Goats,1,500,0,-1
46090,Goats,1,0,1,365
46091,Cows/Oxen,1,20,0,-1
46091,Goats,1,20,0,-1
46092,Cows/Oxen,2,50,0,-1
46092,Goats,1,50,0,-1
46093,Cows/Oxen,1,20,0,-1
46094,Goats,1,0,1,240
46096,Goats,1,0,1,365
46097,Cows/Oxen,1,2,1,110
46097,Goats,2,0,1,365
46097,"Poultry (chickens, ducks, pigeon)",3,0,1,365
46098,Cows/Oxen,1,100,0,-1
46100,Goats,1,0,1,365
46106,Cows/Oxen,2,10,0,-1
46107,Goats,2,1,1,360
46108,Cows/Oxen,1,5,0,-1
46108,Goats,3,1,1,300
46109,Goats,2,5,0,-1
46111,Goats,4,0,1,365
46114,Cows/Oxen,1,5,0,-1
46114,Buffaloes,1,5,0,-1
46123,Buffaloes,2,1,1,365
46123,Goats,3,1,1,365
46125,Cows/Oxen,1,5,0,-1
46126,Goats,1,15,0,-1
46127,Buffaloes,1,5,0,-1
46127,Goats,1,12,0,-1
46129,Buffaloes,1,5,0,-1
46130,Cows/Oxen,2,5,1,120
46130,Buffaloes,1,5,1,120
46130,Goats,2,0,1,365
46131,Buffaloes,1,5,1,120
46135,Buffaloes,2,15,1,120
46137,Cows/Oxen,1,3,1,120
46137,Goats,2,0,1,365
46137,"Poultry (chickens, ducks, pigeon)",7,0,1,365
46139,Buffaloes,1,10,1,120
46142,Goats,4,0,1,365
46143,Goats,3,0,1,365
46145,Goats,2,0,1,365
46146,Cows/Oxen,1,3,0,-1
46146,"Poultry (chickens, ducks, pigeon)",7,0,1,365
46148,Goats,2,0,1,365
46149,Cows/Oxen,1,3,0,-1
46150,Goats,2,0,1,365
46152,Goats,2,0,1,365
46152,"Poultry (chickens, ducks, pigeon)",4,0,1,365
46154,Goats,1,0,1,365
46154,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46157,Cows/Oxen,1,5,0,-1
46157,Goats,7,5,0,-1
46158,Cows/Oxen,1,6,0,-1
46159,Goats,1,0,1,365
46160,Cows/Oxen,1,3,0,-1
46165,Goats,1,0,1,365
46172,Cows/Oxen,1,5,0,-1
46172,Goats,3,5,0,-1
46173,Buffaloes,2,55,0,-1
46173,Pigs,2,55,0,-1
46175,Goats,1,55,0,-1
46175,Pigs,5,0,1,365
46177,Goats,6,0,1,365
46177,Pigs,6,0,1,365
46179,Goats,2,0,1,365
46180,Goats,2,7,0,-1
46180,"Poultry (chickens, ducks, pigeon)",10,7,0,-1
46181,Cows/Oxen,2,15,0,-1
46187,Goats,2,0,1,365
46195,Buffaloes,1,5,0,-1
46197,Cows/Oxen,1,10,0,-1
46198,Buffaloes,1,15,0,-1
46200,Goats,2,0,1,365
46201,Cows/Oxen,1,-1,0,-1
46201,Goats,1,0,1,200
46202,Goats,1,0,1,250
46203,Buffaloes,1,10,0,-1
46204,Goats,2,5,0,-1
46206,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46210,"Poultry (chickens, ducks, pigeon)",10,0,1,365
46211,"Poultry (chickens, ducks, pigeon)",50,0,1,365
46212,Cows/Oxen,2,10,0,-1
46213,Goats,7,0,1,365
46214,Goats,3,0,1,365
46214,"Poultry (chickens, ducks, pigeon)",50,0,1,365
46216,Goats,2,0,1,365
46217,Goats,1,0,1,365
46223,Goats,6,0,1,365
46224,Cows/Oxen,1,7,0,-1
46224,Goats,5,0,1,365
46224,"Poultry (chickens, ducks, pigeon)",2,0,1,365
46226,Goats,2,0,1,365
46226,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46227,Goats,1,0,1,365
46230,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46231,Goats,1,0,1,365
46231,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46233,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46234,"Poultry (chickens, ducks, pigeon)",3,0,1,365
46244,Goats,1,0,1,365
46244,"Poultry (chickens, ducks, pigeon)",1,0,1,365
46246,Cows/Oxen,4,5,0,-1
46246,Goats,3,0,1,365
46248,Cows/Oxen,1,10,0,-1
46249,Cows/Oxen,1,10,0,-1
46251,Buffaloes,1,10,0,-1
46252,Cows/Oxen,2,10,0,-1
46254,Cows/Oxen,2,10,0,-1
46256,Buffaloes,2,3,0,-1
